Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
11/06/19,11:00:00AM,71.361,58.3,147.4,4.5,10.69,0,2553.7
11/06/19,11:10:00AM,72.739,56.4,137.6,3.38,7.9,0,1293.7
11/06/19,11:20:00AM,72.437,56.1,139,3.38,11.27,0,1296.2
11/06/19,11:30:00AM,73.17,55,113.7,3.38,9.01,0,1306.2
11/06/19,11:40:00AM,73.602,55.1,119.3,3.94,7.31,0,1308.7
11/06/19,11:50:00AM,74.683,54.5,140.4,2.82,6.76,0,1308.7
11/06/19,12:00:00PM,73.731,54,127.8,3.38,7.9,0,1311.2
11/06/19,12:10:00PM,75.637,52.7,182.5,2.26,6.76,0,1303.7
11/06/19,12:20:00PM,74.813,54.5,146,2.26,8.46,0,1293.7
11/06/19,12:30:00PM,74.727,54.7,154.4,3.94,7.31,0,1281.2
11/06/19,12:40:00PM,76.071,51.7,174.1,1.12,7.31,0,1266.2
11/06/19,12:50:00PM,77.203,54.4,165.7,1.7,6.2,0,1238.7
11/06/19,01:00:00PM,76.071,53.5,147.4,2.26,6.76,0,1196.2
11/06/19,01:10:00PM,77.117,54.3,160,1.12,6.2,0,1108.7
11/06/19,01:20:00PM,76.986,52,157.2,2.82,7.9,0,983.7
11/06/19,01:30:00PM,77.247,51.6,132,2.26,7.31,0,1223.7
11/06/19,01:40:00PM,76.507,52.6,154.4,3.38,7.31,0,1123.7
11/06/19,01:50:00PM,75.681,53.2,136.2,2.82,7.31,0,783.7
11/06/19,02:00:00PM,75.985,52.1,148.8,3.38,7.31,0,826.2
11/06/19,02:10:00PM,77.072,52.3,150.2,2.82,6.76,0,1011.2
11/06/19,02:20:00PM,76.071,53.3,141.8,2.82,7.31,0,858.7
11/06/19,02:30:00PM,76.332,52.5,119.3,3.38,7.9,0,856.2
11/06/19,02:40:00PM,76.071,52.3,137.6,3.38,9.01,0,518.7
11/06/19,02:50:00PM,75.81,52.2,134.8,1.7,5.08,0,556.2
11/06/19,03:00:00PM,77.203,51.7,134.8,1.12,4.5,0,748.7
11/06/19,03:10:00PM,75.204,53.8,129.2,2.26,5.64,0,326.2
11/06/19,03:20:00PM,75.637,52.6,115.1,2.82,6.76,0,576.2
11/06/19,03:30:00PM,75.681,52,130.6,2.26,6.2,0,516.2
11/06/19,03:40:00PM,75.681,53.1,124.9,2.26,5.64,0,433.7
11/06/19,03:50:00PM,75.333,52.4,124.9,1.12,4.5,0,298.7
11/06/19,04:00:00PM,75.508,52.5,174.1,0,2.82,0,286.2
11/06/19,04:10:00PM,74.338,55.2,130.6,1.12,3.94,0,231.2
11/06/19,04:20:00PM,74.12,56.4,134.8,0,3.38,0,203.7
