Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
06/27/18,03:49:17PM,95.855,41.5,216.2,7.31,14.09,0,2553.7
06/27/18,04:19:17PM,96.822,40.6,214.8,5.64,15.77,0,1798.7
06/27/18,04:49:17PM,95.518,42.8,228.8,6.2,14.65,0,1726.2
06/27/18,05:19:17PM,96.773,39.8,240.1,7.9,15.21,0,1508.7
06/27/18,05:49:17PM,97.063,39.9,216.2,5.08,12.95,0,1393.7
06/27/18,06:19:17PM,96.579,41.6,224.6,5.64,11.27,0,1008.7
06/27/18,06:49:17PM,95.855,41.6,217.6,5.08,10.69,0,891.2
06/27/18,07:19:17PM,96.048,39.4,212,5.08,13.51,0,663.7
06/27/18,07:49:17PM,95.279,39.9,213.4,4.5,10.69,0,456.2
06/27/18,08:19:17PM,93.659,43.4,224.6,5.08,9.01,0,263.7
06/27/18,08:49:17PM,91.216,48,238.7,3.94,8.46,0,91.2
06/27/18,09:19:17PM,88.443,51.8,230.2,2.82,5.08,0,16.2
06/27/18,09:49:17PM,84.632,59.9,220.4,0.56,2.82,0,1.2
06/27/18,10:19:17PM,84.767,59.4,220.4,0,1.12,0,1.2
06/27/18,10:49:17PM,81.952,67.8,220.4,0,1.7,0,1.2
06/27/18,11:19:17PM,80.978,68.8,220.4,0.56,1.7,0,1.2
06/27/18,11:49:17PM,80.272,71.5,220.4,0,1.7,0,1.2
06/28/18,12:19:17AM,79.304,74.5,220.4,0,1.12,0,1.2
06/28/18,12:49:17AM,78.339,76.4,220.4,0.56,1.7,0,1.2
06/28/18,01:19:17AM,76.681,80,220.4,1.12,2.82,0,1.2
06/28/18,01:49:17AM,76.681,79.8,220.4,1.7,3.94,0,1.2
06/28/18,02:19:17AM,76.681,79.4,244.3,2.82,4.5,0,1.2
06/28/18,02:49:17AM,76.028,81.2,245.7,3.38,5.08,0,1.2
06/28/18,03:19:17AM,77.815,77.5,233.1,3.94,6.76,0,1.2
06/28/18,03:49:17AM,77.117,79.2,231.6,3.94,8.46,0,1.2
06/28/18,04:19:17AM,76.854,80.7,230.2,5.08,9.01,0,1.2
06/28/18,04:49:17AM,76.246,82.8,224.6,4.5,7.9,0,1.2
06/28/18,05:19:17AM,75.463,85.8,226,3.38,6.76,0,1.2
06/28/18,05:49:17AM,74.986,88,228.8,5.08,8.46,0,1.2
06/28/18,06:19:17AM,74.424,90,226,3.38,6.76,0,1.2
06/28/18,06:49:17AM,73.904,91.6,223.2,2.26,6.2,0,1.2
06/28/18,07:19:17AM,73.688,93,223.2,2.26,4.5,0,31.2
06/28/18,07:49:17AM,74.511,92.9,231.6,3.38,6.76,0,168.7
06/28/18,08:19:17AM,76.289,90.5,230.2,2.82,5.08,0,361.2
06/28/18,08:49:17AM,78.69,86.9,210.6,2.82,5.64,0,581.2
06/28/18,09:19:17AM,80.757,83.5,220.4,4.5,10.13,0,811.2
06/28/18,09:49:17AM,83.556,78.6,227.4,6.76,12.39,0,1053.7
06/28/18,10:19:17AM,85.352,71.7,249.9,10.13,16.89,0,1253.7
06/28/18,10:49:17AM,86.709,66.9,249.9,10.69,18.03,0,1451.2
06/28/18,11:19:17AM,88.03,62.4,238.7,8.46,16.33,0,1606.2
06/28/18,11:49:17AM,89.177,58.7,238.7,8.46,16.33,0,1756.2
06/28/18,12:19:17PM,90.797,55.8,238.7,6.76,13.51,0,1913.7
06/28/18,12:49:17PM,92.386,52.1,210.6,5.08,13.51,0,2008.7
06/28/18,01:19:17PM,92.997,49.5,223.2,5.08,12.39,0,2043.7
06/28/18,01:49:17PM,94.849,43.9,209.2,6.2,12.39,0,2043.7
06/28/18,02:19:17PM,95.472,43,227.4,6.2,16.89,0,2061.2
06/28/18,02:49:17PM,94.323,43.5,244.3,7.31,15.21,0,2131.2
06/28/18,03:19:17PM,96.822,40.6,234.5,6.76,16.89,0,2038.7
06/28/18,03:49:17PM,97.111,43.1,216.2,6.2,15.77,0,2136.2
06/28/18,04:19:17PM,97.16,42.9,198,5.64,16.33,0,1911.2
06/28/18,04:49:17PM,96.87,42.2,228.8,6.2,12.95,0,1778.7
06/28/18,05:19:17PM,98.479,39.2,227.4,7.31,15.21,0,1531.2
06/28/18,05:49:17PM,97.16,41.3,220.4,5.64,12.95,0,1453.7
06/28/18,06:19:17PM,96.773,41.9,193.7,5.08,11.83,0,1138.7
06/28/18,06:49:17PM,96.822,42.7,226,5.64,10.69,0,958.7
06/28/18,07:19:17PM,96.676,42.5,176.9,3.94,8.46,0,673.7
06/28/18,07:49:17PM,94.609,44.5,210.6,4.5,9.57,0,243.7
06/28/18,08:19:17PM,94.323,46,205,3.38,8.46,0,223.7
06/28/18,08:49:17PM,90.703,52.8,230.2,2.82,5.64,0,78.7
06/28/18,09:19:17PM,87.118,59.3,231.6,2.26,3.38,0,16.2
06/28/18,09:49:17PM,85.397,62,231.6,1.7,3.38,0,1.2
06/28/18,10:19:17PM,84.452,63.7,231.6,0.56,2.26,0,1.2
06/28/18,10:49:17PM,83.154,66.9,231.6,0,1.12,0,1.2
06/28/18,11:19:17PM,81.554,71.4,231.6,0,1.7,0,1.2
06/28/18,11:49:17PM,82.218,69.6,231.6,0,1.12,0,1.2
06/29/18,12:19:17AM,79.655,76.2,231.6,0,1.7,0,1.2
06/29/18,12:49:17AM,80.537,73.6,231.6,0,1.7,0,1.2
06/29/18,01:19:17AM,79.128,75.7,181.1,1.12,3.94,0,1.2
06/29/18,01:49:17AM,81.199,73.2,212,2.26,7.31,0,1.2
06/29/18,02:19:17AM,80.625,75.3,228.8,4.5,9.57,0,1.2
06/29/18,02:49:17AM,79.612,78.9,213.4,2.82,8.46,0,1.2
06/29/18,03:19:17AM,79.173,81.3,228.8,7.31,13.51,0,1.2
06/29/18,03:49:17AM,79.304,83.1,220.4,5.08,11.83,0,1.2
06/29/18,04:19:17AM,78.427,85.6,223.2,0.56,3.94,0,1.2
06/29/18,04:49:17AM,78.033,86.3,224.6,0,1.7,0,1.2
06/29/18,05:19:17AM,76.289,90.9,224.6,0.56,1.7,0,1.2
06/29/18,05:49:17AM,76.854,89.6,224.6,0,1.12,0,1.2
06/29/18,06:19:17AM,74.943,93.7,224.6,0,1.7,0,1.2
06/29/18,06:49:17AM,75.29,92.9,224.6,0.56,2.82,0,1.2
06/29/18,07:19:17AM,74.163,93.5,224.6,0,3.94,0,16.2
06/29/18,07:49:17AM,75.117,94.3,224.6,0,2.26,0,86.2
06/29/18,08:19:17AM,77.464,91.6,224.6,0.56,3.94,0,341.2
06/29/18,08:49:17AM,80.008,86.6,193.7,2.26,8.46,0,581.2
06/29/18,09:19:17AM,81.997,81.7,213.4,4.5,11.27,0,813.7
06/29/18,09:49:17AM,83.824,75.2,217.6,6.2,14.09,0,1038.7
06/29/18,10:19:17AM,84.857,71.4,233.1,7.9,17.47,0,1241.2
06/29/18,10:49:17AM,86.437,64.6,231.6,11.27,19.15,0,1431.2
06/29/18,11:19:17AM,87.62,62.1,230.2,12.39,20.85,0,1593.7
06/29/18,11:49:17AM,89.731,55.7,231.6,11.83,20.29,0,1738.7
06/29/18,12:19:17PM,90.379,55.3,238.7,12.39,21.41,0,1853.7
06/29/18,12:49:17PM,90.009,54.2,244.3,11.83,19.71,0,1943.7
06/29/18,01:19:17PM,91.123,52.4,245.7,10.69,18.03,0,2063.7
06/29/18,01:49:17PM,92.62,49.4,231.6,7.9,15.21,0,1703.7
06/29/18,02:19:17PM,93.375,47.5,224.6,5.64,14.65,0,2286.2
06/29/18,02:49:17PM,95.23,43.7,219,5.64,14.09,0,2101.2
06/29/18,03:19:17PM,95.328,44.2,221.8,5.08,15.21,0,2138.7
06/29/18,03:49:17PM,95.616,42.3,161.5,5.08,11.83,0,2076.2
