Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
06/29/18,03:52:39PM,96.289,41.4,240.1,7.9,13.51,0,2061.2
06/29/18,04:22:39PM,97.696,42.7,196.5,5.08,13.51,0,1841.2
06/29/18,04:52:39PM,97.403,41.9,209.2,4.5,12.39,0,1676.2
06/29/18,05:22:39PM,97.551,39.5,188.1,3.38,11.27,0,1471.2
06/29/18,05:52:39PM,95.518,38.7,174.1,3.38,11.83,0,211.2
06/29/18,06:22:39PM,98.429,35.9,200.8,2.26,7.31,0,1101.2
06/29/18,06:52:39PM,94.849,39.8,193.7,2.82,12.39,0,196.2
06/29/18,07:22:39PM,98.038,37.1,172.7,0.56,5.08,0,683.7
06/29/18,07:52:39PM,97.014,40.8,56.2,1.7,7.9,0,506.2
06/29/18,08:22:39PM,94.753,44,88.4,4.5,9.57,0,263.7
06/29/18,08:52:39PM,92.763,45.1,164.3,0.56,3.94,0,78.7
06/29/18,09:22:39PM,90.657,50.4,137.6,1.12,6.2,0,8.7
06/29/18,09:52:39PM,89.407,54.4,110.9,2.82,6.2,0,1.2
06/29/18,10:22:39PM,87.939,57.3,109.5,3.94,7.9,0,1.2
06/29/18,10:52:39PM,86.029,61.8,116.5,2.82,7.9,0,1.2
06/29/18,11:22:39PM,86.211,62.1,147.4,1.12,5.08,0,1.2
06/29/18,11:52:39PM,85.035,64.1,161.5,1.12,6.2,0,1.2
06/30/18,12:22:39AM,83.021,68.8,123.5,2.26,6.76,0,1.2
06/30/18,12:52:39AM,82.396,69.7,122.1,2.26,5.64,0,1.2
06/30/18,01:22:39AM,82.62,68.9,168.5,1.7,5.64,0,1.2
06/30/18,01:52:39AM,81.775,71.5,171.3,1.12,5.64,0,1.2
06/30/18,02:22:39AM,80.316,75.3,206.4,1.12,5.64,0,1.2
06/30/18,02:52:39AM,79.216,78.7,230.2,1.12,3.94,0,1.2
06/30/18,03:22:39AM,77.902,81.4,220.4,1.7,5.08,0,1.2
06/30/18,03:52:39AM,76.768,85,233.1,2.82,6.2,0,1.2
06/30/18,04:22:39AM,76.811,87,230.2,3.38,6.76,0,1.2
06/30/18,04:52:39AM,76.464,88.5,234.5,2.82,6.2,0,1.2
06/30/18,05:22:39AM,77.16,86.1,240.1,5.08,8.46,0,1.2
06/30/18,05:52:39AM,75.853,88.5,240.1,4.5,7.9,0,1.2
06/30/18,06:22:39AM,74.813,88.6,227.4,1.12,4.5,0,1.2
06/30/18,06:52:39AM,74.77,90.4,227.4,1.7,3.38,0,1.2
06/30/18,07:22:39AM,73.386,92.2,233.1,3.38,5.08,0,36.2
06/30/18,07:52:39AM,75.594,91.5,241.5,4.5,7.9,0,168.7
06/30/18,08:22:39AM,77.509,88.5,241.5,6.2,10.13,0,341.2
06/30/18,08:52:39AM,79.524,84.4,235.9,7.31,11.27,0,568.7
06/30/18,09:22:39AM,80.361,82.7,231.6,8.46,15.21,0,908.7
06/30/18,09:52:39AM,81.421,77.6,247.1,12.39,18.59,0,721.2
06/30/18,10:22:39AM,83.556,72.7,237.3,9.57,14.65,0,1206.2
06/30/18,10:52:39AM,85.307,68.7,234.5,10.13,15.77,0,1398.7
06/30/18,11:22:39AM,86.301,64.7,241.5,9.01,15.21,0,1571.2
06/30/18,11:52:39AM,87.255,60.6,235.9,9.01,14.65,0,1706.2
06/30/18,12:22:39PM,89.546,56.4,238.7,9.01,16.33,0,1808.7
06/30/18,12:52:39PM,90.286,55.1,242.9,8.46,17.47,0,1943.7
06/30/18,01:22:39PM,93.992,47.3,223.2,6.2,14.09,0,1968.7
06/30/18,01:52:39PM,93.612,48.4,213.4,6.2,15.77,0,693.7
06/30/18,02:22:39PM,94.039,47,226,7.9,15.21,0,2066.2
06/30/18,02:52:39PM,94.8,44.8,226,6.76,14.09,0,2026.2
06/30/18,03:22:39PM,94.849,44.2,223.2,6.2,14.09,0,2006.2
06/30/18,03:52:39PM,95.374,43.5,216.2,7.31,15.77,0,771.2
06/30/18,04:22:39PM,97.842,40.2,223.2,7.31,15.21,0,1726.2
06/30/18,04:52:39PM,97.209,37.7,200.8,6.2,17.47,0,1528.7
06/30/18,05:22:39PM,97.939,35.4,190.9,6.76,14.09,0,1386.2
06/30/18,05:52:39PM,96.917,36.7,233.1,10.13,18.03,0,1198.7
06/30/18,06:22:39PM,97.354,36.7,235.9,7.9,16.89,0,1008.7
06/30/18,06:52:39PM,97.452,37.6,221.8,6.2,14.09,0,806.2
06/30/18,07:22:39PM,97.306,37.7,188.1,3.94,9.01,0,586.2
06/30/18,07:52:39PM,96.096,38.2,196.5,3.94,10.13,0,386.2
06/30/18,08:22:39PM,94.705,40.3,193.7,3.38,8.46,0,211.2
06/30/18,08:52:39PM,92.62,42.7,192.3,1.12,4.5,0,81.2
06/30/18,09:22:39PM,87.894,50.4,182.5,0.56,3.38,0,6.2
06/30/18,09:52:39PM,86.074,53.4,190.9,1.12,2.82,0,1.2
06/30/18,10:22:39PM,84.317,55.8,190.9,0,0,0,1.2
06/30/18,10:52:39PM,81.819,64.6,190.9,0,1.12,0,1.2
06/30/18,11:22:39PM,82.841,59.6,190.9,0.56,2.26,0,1.2
06/30/18,11:52:39PM,80.978,63.4,198,1.12,3.38,0,1.2
07/01/18,12:22:39AM,80.625,63.9,202.2,0,2.82,0,1.2
07/01/18,12:52:39AM,78.382,70.2,203.6,1.12,3.38,0,1.2
07/01/18,01:22:39AM,77.553,73.6,231.6,2.26,4.5,0,1.2
07/01/18,01:52:39AM,76.725,76.5,244.3,2.82,6.76,0,1.2
07/01/18,02:22:39AM,78.645,74.5,231.6,5.08,9.57,0,1.2
07/01/18,02:52:39AM,78.165,77.2,219,2.82,6.76,0,1.2
07/01/18,03:22:39AM,77.902,79.6,226,4.5,7.9,0,1.2
07/01/18,03:52:39AM,77.378,81.7,221.8,3.94,6.76,0,1.2
07/01/18,04:22:39AM,75.942,85.1,219,1.7,6.76,0,1.2
07/01/18,04:52:39AM,72.523,90.1,234.5,3.38,5.64,0,1.2
07/01/18,05:22:39AM,75.247,90.4,231.6,3.94,7.9,0,1.2
07/01/18,05:52:39AM,74.206,90.3,226,3.38,6.76,0,1.2
