Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
07/15/19,03:40:00PM,84.182,71.4,226,10.69,18.03,0,2493.7
07/15/19,03:50:00PM,83.511,71.2,233.1,10.13,15.77,0,538.7
07/15/19,04:00:00PM,82.886,72.9,241.5,7.9,12.39,0,446.2
07/15/19,04:10:00PM,83.242,73.4,240.1,6.76,10.13,0,1006.2
07/15/19,04:20:00PM,85.712,73.4,241.5,7.9,12.39,0,898.7
07/15/19,04:30:00PM,86.664,69.8,244.3,7.9,12.95,0,1978.7
07/15/19,04:40:00PM,86.572,69.5,244.3,6.2,11.83,0,791.2
07/15/19,04:50:00PM,85.757,69.7,244.3,6.2,12.95,0,971.2
07/15/19,05:00:00PM,86.482,70.4,255.5,7.31,12.95,0,1846.2
07/15/19,05:10:00PM,87.346,70,249.9,6.2,11.27,0,1553.7
07/15/19,05:20:00PM,86.617,68.9,261.1,6.2,12.39,0,1693.7
07/15/19,05:30:00PM,85.712,71.6,271,6.2,11.27,0,398.7
07/15/19,05:40:00PM,87.391,70.2,255.5,7.9,13.51,0,1433.7
07/15/19,05:50:00PM,86.617,68.7,248.5,7.31,11.83,0,1358.7
07/15/19,06:00:00PM,86.119,66.7,256.9,8.46,14.09,0,1193.7
07/15/19,06:10:00PM,86.256,67.7,268.1,9.01,15.77,0,1158.7
07/15/19,06:20:00PM,86.119,68.8,266.7,7.31,12.39,0,1191.2
07/15/19,06:30:00PM,86.029,67.5,266.7,8.46,12.95,0,1036.2
07/15/19,06:40:00PM,86.572,67.8,268.1,6.76,12.95,0,976.2
07/15/19,06:50:00PM,86.391,68.1,254.1,7.9,15.21,0,1118.7
07/15/19,07:00:00PM,86.074,68,255.5,8.46,12.39,0,831.2
07/15/19,07:10:00PM,87.073,68.5,228.8,4.5,8.46,0,766.2
07/15/19,07:20:00PM,86.119,68.7,234.5,5.08,9.01,0,513.7
07/15/19,07:30:00PM,86.301,69.8,244.3,5.08,11.27,0,496.2
07/15/19,07:40:00PM,86.119,69.5,252.7,5.64,10.13,0,551.2
07/15/19,07:50:00PM,86.437,70.8,248.5,3.94,7.9,0,436.2
07/15/19,08:00:00PM,84.945,71.6,244.3,2.82,6.76,0,278.7
07/15/19,08:10:00PM,85.757,71.2,238.7,1.7,5.08,0,396.2
07/15/19,08:20:00PM,85.442,71.8,244.3,1.7,3.94,0,253.7
07/15/19,08:30:00PM,85.307,73.6,238.7,1.7,3.38,0,236.2
07/15/19,08:40:00PM,85.397,72.6,241.5,0.56,2.82,0,158.7
07/15/19,08:50:00PM,84.497,74.5,241.5,1.12,6.76,0,66.2
07/15/19,09:00:00PM,83.601,78.1,240.1,2.26,6.76,0,51.2
07/15/19,09:10:00PM,81.952,83.1,202.2,2.26,10.13,0,23.7
07/15/19,09:20:00PM,80.978,85.7,175.5,3.38,7.31,0,8.7
07/15/19,09:30:00PM,80.139,87.3,181.1,2.26,5.64,0,1.2
07/15/19,09:40:00PM,79.743,88.1,188.1,2.82,7.9,0,1.2
07/15/19,09:50:00PM,79.261,88.7,183.9,2.26,9.57,0,1.2
07/15/19,10:00:00PM,78.996,89.2,186.7,2.26,7.31,0,1.2
07/15/19,10:10:00PM,78.602,89.9,182.5,2.26,7.31,0,1.2
07/15/19,10:20:00PM,78.339,90.6,186.7,1.7,7.9,0,1.2
07/15/19,10:30:00PM,78.339,90.5,176.9,3.38,9.01,0,1.2
07/15/19,10:40:00PM,78.076,90.3,179.7,3.38,8.46,0,1.2
07/15/19,10:50:00PM,77.902,90.3,185.3,3.38,10.13,0,1.2
07/15/19,11:00:00PM,77.684,90.4,186.7,3.38,10.69,0,1.2
07/15/19,11:10:00PM,77.509,90.4,189.5,2.82,10.69,0,1.2
07/15/19,11:20:00PM,77.378,91,192.3,3.38,9.57,0,1.2
07/15/19,11:30:00PM,77.203,91.1,198,3.38,9.01,0,1.2
07/15/19,11:40:00PM,76.942,91.4,205,2.26,9.01,0,1.2
07/15/19,11:50:00PM,76.768,91.5,209.2,2.26,9.01,0,1.2
07/16/19,12:00:00AM,76.768,91.7,203.6,2.82,7.9,0,1.2
07/16/19,12:10:00AM,76.681,92,196.5,2.26,7.31,0,1.2
07/16/19,12:20:00AM,76.419,92.4,189.5,2.26,6.76,0,1.2
07/16/19,12:30:00AM,76.114,92.6,206.4,0.56,4.5,0,1.2
07/16/19,12:40:00AM,76.114,93.1,186.7,1.7,8.46,0,1.2
07/16/19,12:50:00AM,75.985,93.1,193.7,2.26,8.46,0,1.2
07/16/19,01:00:00AM,75.853,93.4,202.2,1.7,5.64,0,1.2
07/16/19,01:10:00AM,75.637,93.8,186.7,2.26,7.31,0,1.2
07/16/19,01:20:00AM,75.463,94,189.5,1.7,7.31,0,1.2
07/16/19,01:30:00AM,75.42,94.5,189.5,2.26,6.76,0,1.2
07/16/19,01:40:00AM,75.376,95,182.5,2.82,9.57,0,1.2
07/16/19,01:50:00AM,75.551,95.1,199.4,3.38,9.57,0,1.2
07/16/19,02:00:00AM,75.681,95.2,200.8,2.82,7.9,0,1.2
07/16/19,02:10:00AM,75.985,95.4,192.3,3.94,9.57,0,1.2
07/16/19,02:20:00AM,76.246,95.3,190.9,4.5,10.69,0,1.2
07/16/19,02:30:00AM,76.464,95.2,195.1,3.94,11.27,0,1.2
