Date,Time,Temp,RH,WD,WS,GS,Rain,PAR
8/3/2020,10:00:00AM,82.708,71.2,263.9,6.2,11.83,0,1291.2
8/3/2020,10:10:00AM,82.53,70.2,269.6,7.9,11.83,0,1348.7
8/3/2020,10:20:00AM,83.601,69.5,271,5.64,10.69,0,1406.2
8/3/2020,10:30:00AM,83.691,68.5,256.9,6.76,12.39,0,1456.2
8/3/2020,10:40:00AM,83.779,68.6,258.3,8.46,11.83,0,1506.2
8/3/2020,10:50:00AM,84.587,69.4,256.9,7.9,12.95,0,1551.2
8/3/2020,11:00:00AM,84.812,69.7,266.7,5.64,10.13,0,1588.7
8/3/2020,11:10:00AM,84.9,69.2,255.5,6.76,12.39,0,1593.7
8/3/2020,11:20:00AM,85.487,69.4,254.1,7.31,12.39,0,1673.7
8/3/2020,11:30:00AM,84.945,67.2,261.1,7.9,11.27,0,1698.7
8/3/2020,11:40:00AM,85.397,67.8,262.5,5.64,12.39,0,1733.7
8/3/2020,11:50:00AM,86.754,67.2,254.1,4.5,11.83,0,1788.7
8/3/2020,12:00:00PM,86.391,66.7,254.1,7.9,11.83,0,1803.7
8/3/2020,12:10:00PM,86.164,65.7,249.9,7.31,11.83,0,1866.2
8/3/2020,12:20:00PM,86.981,67.3,273.8,7.31,14.65,0,1911.2
8/3/2020,12:30:00PM,85.849,64.5,266.7,6.2,10.13,0,538.7
8/3/2020,12:40:00PM,87.073,63.9,256.9,6.76,11.83,0,1891.2
8/3/2020,12:50:00PM,87.028,62.4,294.8,5.08,11.83,0,458.7
8/3/2020,01:00:00PM,87.436,62.2,289.2,6.2,12.95,0,688.7
8/3/2020,01:10:00PM,87.939,62.3,275.2,7.31,11.83,0,2043.7
8/3/2020,01:20:00PM,87.802,60.6,280.8,6.76,13.51,0,1981.2
8/3/2020,01:30:00PM,87.118,62.1,280.8,5.64,11.27,0,1941.2
8/3/2020,01:40:00PM,87.894,59.7,259.7,6.2,12.39,0,723.7
8/3/2020,01:50:00PM,88.306,57.1,269.6,6.2,12.39,0,1058.7
8/3/2020,02:00:00PM,89.269,57.2,275.2,5.64,10.69,0,1891.2
8/3/2020,02:10:00PM,88.855,56.4,273.8,10.13,15.21,0,1878.7
8/3/2020,02:20:00PM,89.593,54.7,252.7,9.57,14.09,0,1973.7
8/3/2020,02:30:00PM,89.407,54.5,259.7,10.69,17.47,0,1961.2
8/3/2020,02:40:00PM,89.731,54.1,259.7,9.01,16.33,0,1481.2
8/3/2020,02:50:00PM,88.718,56.8,276.6,8.46,12.95,0,688.7
8/3/2020,03:00:00PM,89.407,56.5,265.3,9.57,15.21,0,461.2
8/3/2020,03:10:00PM,89.362,58.3,283.6,8.46,13.51,0,956.2
8/3/2020,03:20:00PM,88.075,56.2,269.6,11.83,19.71,0,476.2
8/3/2020,03:30:00PM,88.534,58.2,275.2,9.57,15.77,0,421.2
8/3/2020,03:40:00PM,89.224,57.4,279.4,7.9,14.09,0,1608.7
8/3/2020,03:50:00PM,89.362,54.7,273.8,11.83,18.03,0,1648.7
8/3/2020,04:00:00PM,87.985,55.5,283.6,8.46,15.21,0,1486.2
8/3/2020,04:10:00PM,88.763,53.2,287.8,9.01,16.33,0,1373.7
8/3/2020,04:20:00PM,88.718,55.5,279.4,11.27,19.71,0,1288.7
8/3/2020,04:30:00PM,88.488,49.3,279.4,10.69,18.03,0,1236.2
8/3/2020,04:40:00PM,89.085,51.4,280.8,9.57,15.21,0,1163.7
8/3/2020,04:50:00PM,88.763,47.6,296.2,7.9,16.33,0,1111.2
8/3/2020,05:00:00PM,88.579,46.9,286.4,7.31,12.95,0,1013.7
8/3/2020,05:10:00PM,87.985,47.2,300.4,7.31,12.95,0,978.7
8/3/2020,05:20:00PM,88.396,46.2,299,6.76,12.95,0,921.2
8/3/2020,05:30:00PM,87.985,43.9,293.4,6.76,12.95,0,846.2
8/3/2020,05:40:00PM,87.847,46.1,300.4,6.2,12.95,0,803.7
8/3/2020,05:50:00PM,87.665,46.4,306.1,6.2,12.39,0,713.7
8/3/2020,06:00:00PM,87.255,48.2,294.8,7.31,13.51,0,651.2
8/3/2020,06:10:00PM,86.936,49.1,290.6,5.64,9.01,0,586.2
8/3/2020,06:20:00PM,86.617,48.8,301.8,4.5,8.46,0,508.7
8/3/2020,06:30:00PM,85.894,52.5,313.1,3.94,7.9,0,451.2
8/3/2020,06:40:00PM,85.217,52.7,335.5,5.08,10.69,0,386.2
8/3/2020,06:50:00PM,84.542,54.7,339.7,5.64,10.13,0,311.2
8/3/2020,07:00:00PM,83.914,55.6,336.9,5.08,8.46,0,256.2
8/3/2020,07:10:00PM,83.377,56.7,338.3,4.5,9.01,0,208.7
8/3/2020,07:20:00PM,82.886,58.2,327.1,3.38,7.9,0,146.2
8/3/2020,07:30:00PM,82.13,59.1,320.1,2.82,6.2,0,108.7
8/3/2020,07:40:00PM,81.066,60.3,299,2.82,6.2,0,66.2
8/3/2020,07:50:00PM,79.876,61.9,292,2.26,5.08,0,28.7
8/3/2020,08:00:00PM,79.261,62.3,315.9,1.12,4.5,0,13.7
8/3/2020,08:10:00PM,78.822,62.8,315.9,1.12,2.82,0,6.2
8/3/2020,08:20:00PM,78.076,64.5,313.1,1.12,2.82,0,1.2
8/3/2020,08:30:00PM,78.514,63.4,308.9,1.7,3.94,0,1.2
8/3/2020,08:40:00PM,76.464,68.6,300.4,1.12,3.38,0,1.2
8/3/2020,08:50:00PM,76.246,69.7,300.4,1.12,2.26,0,1.2
8/3/2020,09:00:00PM,77.247,67.6,300.4,1.12,3.38,0,1.2
8/3/2020,09:10:00PM,77.684,65.4,300.4,1.7,3.38,0,1.2
8/3/2020,09:20:00PM,74.683,72,300.4,1.7,2.82,0,1.2
8/3/2020,09:30:00PM,72.912,76.8,300.4,1.12,2.26,0,1.2
8/3/2020,09:40:00PM,72.696,78.6,300.4,1.12,2.26,0,1.2
8/3/2020,09:50:00PM,72.007,80.2,300.4,1.7,2.82,0,1.2
8/3/2020,10:00:00PM,71.661,81.6,300.4,1.7,2.82,0,1.2
8/3/2020,10:10:00PM,72.178,82,296.2,1.12,2.26,0,1.2
8/3/2020,10:20:00PM,72.007,82.5,287.8,2.26,3.38,0,1.2
8/3/2020,10:30:00PM,71.577,82,256.9,2.26,3.38,0,1.2
